fname:stockfish_v_stockfish.txt
white:Stockfish
black:Stockfish
Init_fen:rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
--
max_time_per_move_white:0.1
max_time_per_move_black:0.1
time_control_white:None
time_control_black:None
draw_time_white:5
draw_time_black:5
trash_talk_time_white:1
trash_talk_time_black:1
--
black t=0.08899879455566406 | move:d5g2
white t=0.08953738212585449 | move:c1e3
black t=0.0890650749206543 | move:g2a8
white t=0.08852481842041016 | move:e3c1
black t=0.08749604225158691 | move:a8d5
white t=0.08652257919311523 | move:c1a3
black t=0.08754348754882812 | move:d5a2
white t=0.08905649185180664 | move:a3b2
black t=0.091064453125 | move:a2c4
white t=0.08953332901000977 | move:b2c3
black t=0.08852958679199219 | move:c4d5
white t=0.08902740478515625 | move:c3e1
black t=0.0879979133605957 | move:g6h6
white t=0.0880742073059082 | move:e1b4
black t=0.08806300163269043 | move:h6g6
white t=0.08699536323547363 | move:b4c3
black t=0.08800482749938965 | move:d5h1
white t=0.08699488639831543 | move:c3a5
black t=0.08759498596191406 | move:g6h6
white t=0.08799910545349121 | move:a5d8
black t=0.09058117866516113 | move:h1e4
white t=0.08799171447753906 | move:d8e7
black t=0.0881338119506836 | move:e4g2
white t=0.08899736404418945 | move:e7f8
black t=0.08806157112121582 | move:h6g6
white t=0.08952116966247559 | move:f8b4
black t=0.08799242973327637 | move:g2d5
white t=0.08994936943054199 | move:b4e7
black t=0.09058165550231934 | move:d5c6
white t=0.0870673656463623 | move:e7g5
black t=0.08899950981140137 | move:c6d5
white t=0.08752155303955078 | move:g5f6
black t=0.0930337905883789 | move:d5h1
white t=0.08957266807556152 | move:f6h4
black t=0.011998176574707031 | move:h1g2
white t=0.08954691886901855 | move:f4e3
black t=0.08868932723999023 | move:g2h1
white t=0.08970880508422852 | move:h4e7
black t=0.08699893951416016 | move:h1f3
white t=0.08906435966491699 | move:e3f3
black t=0.0921485424041748 | move:g6f7
white t=0.08885955810546875 | move:e7b4
black t=0.08653712272644043 | move:f7e8
white t=0.08963823318481445 | move:f3f4
black t=0.08853530883789062 | move:e8f7
white t=0.08831954002380371 | move:d4d5
black t=0.08898782730102539 | move:e6d5
white t=0.08900737762451172 | move:f4f5
black t=0.08809471130371094 | move:d5d4
white t=0.08754110336303711 | move:e5e6
black t=0.09108543395996094 | move:f7e8
white t=0.08952999114990234 | move:f5e4
black t=0.0889897346496582 | move:d4d3
white t=0.0953519344329834 | move:e4d3
black t=0.09004521369934082 | move:e8d8
white t=0.08952856063842773 | move:d3e4
black t=0.08926534652709961 | move:d8e8
white t=0.0877375602722168 | move:e4f5
black t=0.08699703216552734 | move:e8d8
white t=0.08954524993896484 | move:f5g6
black t=0.09080862998962402 | move:d8e8
white t=0.0905296802520752 | move:e6e7
black t=0.09108281135559082 | move:e8d7
white t=0.09004068374633789 | move:g6f7
black t=0.0930027961730957 | move:d7c6
white t=0.08840131759643555 | move:e7e8q
black t=0.08752083778381348 | move:c6d5
white t=0.0905141830444336 | move:e8b5
black t=0.08859801292419434 | move:d5d4
white t=0.0879967212677002 | move:b5h5
black t=0.0879206657409668 | move:d4c4
white t=0.08807563781738281 | move:h5g4
black t=0.0915224552154541 | move:c4b5
white t=0.08708524703979492 | move:f7e6
black t=0.08761858940124512 | move:b5a4
white t=0.08852887153625488 | move:b4e1
black t=0.08999300003051758 | move:a4b3
white t=0.08853483200073242 | move:g4d1
black t=0.0875554084777832 | move:b3b2
white t=0.08806920051574707 | move:e1b4
black t=0.022996902465820312 | move:b2a2
white t=0.02400040626525879 | move:d1c2
black t=0.013536214828491211 | move:a2a1
white t=0.017992019653320312 | move:b4c3
